filename,extension,owner,permissions,size,created,modified,has_sensitive_keyword,label
/home/data/task_manager.pptx,.pptx,Finance,Restricted,1050,2021-10-07,2022-07-13,False,0
/etc/configs/development_notes.pdf,.pdf,Operations,Public,551,2020-10-21,2021-02-23,False,0
/srv/temp/blog.pdf,.pdf,Operations,Internal,1599,2023-06-11,2024-02-15,False,0
/home/downloads/government_id.pdf,.pdf,HR,Restricted,943,2022-06-09,2022-06-15,True,1
/home/backup/reference_data.docx,.docx,HR,Public,1173,2022-01-24,2022-04-23,False,0
/srv/shared/business_roadmap.docx,.docx,Finance,Confidential,1546,2021-03-13,2021-04-23,False,0
/srv/backup/loan.pptx,.pptx,Operations,Public,85,2023-08-27,2023-08-29,True,1
/home/downloads/research_paper.docx,.docx,IT,Internal,1319,2021-12-22,2022-12-03,False,0
/mnt/data/passport.xlsx,.xlsx,Finance,Public,161,2024-05-12,2024-05-19,True,1
C:\Users\Desktop\legal_notice.xlsx,.xlsx,Operations,Internal,463,2024-04-02,2024-11-23,False,0
/var/backups/patient.csv,.csv,HR,Public,248,2023-08-29,2023-08-29,True,1
/srv/temp/industry_insights_record.csv,.csv,IT,Internal,426,2022-10-21,2023-03-07,False,0
C:\Users\Administrator\copy_script.xlsx,.xlsx,HR,Public,211,2021-01-02,2021-03-05,False,0
/mnt/files/bankStatement.xlsx,.xlsx,HR,Confidential,3214,2022-10-13,2022-10-15,True,1
/mnt/backup/diagnosis.pdf,.pdf,Operations,Restricted,86,2020-12-21,2020-12-22,True,1
/etc/logs/lawsuit.txt,.txt,Finance,Restricted,305,2023-08-29,2023-09-04,True,1
/var/tmp_storage/book_draft.txt,.txt,Finance,Confidential,1281,2023-11-29,2023-12-20,False,0
/srv/system/task_list_file.csv,.csv,Marketing,Public,1003,2025-02-24,2025-08-14,False,0
/var/tmp/audit.pdf,.pdf,IT,Internal,951,2020-10-22,2020-10-23,True,1
/home/backup/trade_analysis.txt,.txt,HR,Restricted,834,2020-09-26,2021-06-25,False,0
/etc/logs/nda_doc.xlsx,.xlsx,Marketing,Public,16,2020-12-19,2020-12-25,True,0
/home/docs/social_security.docx,.docx,Operations,Restricted,103,2022-03-23,2022-03-28,True,1
/tmp/files/xray.txt,.txt,Operations,Confidential,1408,2023-05-13,2023-05-20,True,0
/mnt/logs/updated_policy_brief.pptx,.pptx,Operations,Internal,1914,2020-07-24,2021-03-17,False,0
/srv/shared/new_travel_blog.pdf,.pdf,Operations,Public,889,2024-01-27,2024-11-24,False,0
C:\Temp\birth_certificate.txt,.txt,Finance,Public,810,2021-04-06,2021-04-12,True,1
C:\Users\Guest\employee_data.xlsx,.xlsx,HR,Confidential,1670,2022-05-08,2022-05-15,True,0
/srv/backup/policy.txt,.txt,Marketing,Restricted,142,2022-10-10,2022-10-12,True,1
/tmp/storage/festival_info_record.docx,.docx,IT,Confidential,210,2020-08-22,2020-12-18,False,0
/var/tmp/fanfiction.docx,.docx,Marketing,Public,91,2023-09-05,2024-02-11,False,0
C:\Users\Guest\transparency_report_overview.txt,.txt,Operations,Restricted,639,2022-03-13,2022-04-16,False,0
C:\Users\Administrator\sports_schedule_report.txt,.txt,HR,Internal,239,2022-11-15,2023-04-19,False,0
C:\Users\Guest\university_brochure.pptx,.pptx,HR,Restricted,1267,2021-07-09,2021-12-22,False,0
/mnt/archive/pricing.csv,.csv,Finance,Public,44,2020-05-10,2020-05-11,True,1
C:\Temp\diagnosis.csv,.csv,Marketing,Internal,9,2022-02-21,2022-02-22,True,1
/srv/system/system_requirements.xlsx,.xlsx,Operations,Public,380,2022-06-21,2023-06-05,False,0
C:\Users\Public\documentary_script.txt,.txt,Finance,Confidential,87,2023-10-27,2024-01-13,False,0
/etc/configs/sample_transparency_report.docx,.docx,IT,Restricted,7991,2025-02-13,2025-05-23,False,0
/mnt/mounts/confidential.xlsx,.xlsx,HR,Confidential,613,2021-09-12,2021-09-14,True,1
/mnt/mounts/market_analysis.pdf,.pdf,Operations,Restricted,307,2021-04-25,2021-05-01,True,1
